Sentence,Intent
Bugün başlamak için güzel bir gün 🙏  sevgili dostum,motivation
Bunu yapamam...  🙏,rejection
İyi ki varsın... .,gratitude
Gerçekten çok naziksin :),gratitude
Hoşçakalın 🖐️,farewell
Şu an için mümkün değil!,rejection
Kusura bakma ama hayır 🙏  sevgili dostum,rejection
Şu an için mümkün değil 🙏,rejection
İyi akşamlar sevgili dostum!,greeting
Yarın görüşürüz!,farewell
Bunu yapamam...,rejection
Bu iyiliğini unutmayacağım...,gratitude
Güle güle 🖐️,farewell
Çok gerginim!,stress
Hiç kimsem yok gibi geliyor :),loneliness
Endişe içindeyim,anxiety
Yardımın için minnettarım 🙏,gratitude
Bu iyiliğini unutmayacağım.,gratitude
Sadece biri beni dinlese yeter.,loneliness
Merhaba dostum! Umarım iyisiniz.,greeting
Bugün harika hissediyorum  🙂,motivation
Bugün harika hissediyorum :),motivation
Ne olacağını bilmiyorum. !!,anxiety
Olmaz...,rejection
Tekrar görüşmek dileğiyle. Görüşürüz.,farewell
Her geçen gün daha iyiyim.,motivation
Huzursuzum :),anxiety
Gerçekten çok naziksin,gratitude
Kimse beni anlamıyor.,loneliness
Uyuyamıyorum!!  🙏,anxiety
Kendimi güçlü hissediyorum...  🙏,motivation
Gerçekten çok naziksin!,gratitude
Üzerimde büyük bir baskı var :),stress
Günaydın efendim! !,greeting
Hey efendim!,greeting
Kendimi güçlü hissediyorum 🙏,motivation
Gerçekten çok naziksin 🙏,gratitude
Ne olacağını bilmiyorum .,anxiety
Derin nefes almaya çalışıyorum :),stress
Kimse beni anlamıyor!  🙏,loneliness
Kafam karışık ve tedirgin!!,anxiety
Kendimi güçlü hissediyorum! !,motivation
Maalesef uygun değil lütfen,rejection
Pes etmeyeceğim.,motivation
"Merhaba, sizi görmek ne güzel.",greeting
Kimse beni anlamıyor 🙏,loneliness
Selam. Keyifler nasıl?,greeting
Birazdan patlayacağım sevgili dostum,stress
Zamanla yarışıyorum...,stress
Yalnızlık zor geliyor sevgili dostum,loneliness
Kendime güveniyorum 🙏,motivation
Bu iyiliğini unutmayacağım :) !,gratitude
Kalabalıkta bile yapayalnızım lütfen,loneliness
Nasılsınız! Nasılsınız?  sevgili dostum,greeting
Çok gerginim sevgili dostum !!,stress
İçim daralıyor sevgili dostum !,anxiety
Allah razı olsun,gratitude
Bugün harika hissediyorum sevgili dostum  🙏,motivation
Tekrar görüşmek dileğiyle! Sağlıcakla kal.  sevgili dostum,farewell
Her şey üstüme üstüme geliyor!!,stress
Güle güle!,farewell
Teşekkür ederim!,gratitude
Yalnızlık zor geliyor!,loneliness
Şimdilik hoşça kal. Allah'a emanet.,farewell
Reddetmek zorundayım.,rejection
Merhaba dostum! Nasılsınız?,greeting
Bugün harika hissediyorum!,motivation
Selamlar efendim!  lütfen,greeting
Başarabilirim lütfen  lütfen,motivation
Bugün harika hissediyorum...,motivation
Günaydın dostum!  sevgili dostum,greeting
Kalbim hızlı çarpıyor! ...,anxiety
Uyuyamıyorum :),anxiety
Yalnızlık içimi kemiriyor,loneliness
"Hoşça kal, bay bay.",farewell
Uyuyamıyorum !!,anxiety
Selamlar!  🙏,greeting
Kafam çok dolu 🙏 .,stress
Stres seviyesi tavan yaptı. !!,stress
Zamanla yarışıyorum 🙂,stress
İyi ki varsın! !!,gratitude
Çok teşekkür ederim sevgili dostum,gratitude
Her şey üstüme üstüme geliyor :),stress
Desteğin için teşekkürler  sevgili dostum,gratitude
Gerçekten çok naziksin lütfen,gratitude
Merhaba nasılsın. Keyifler nasıl?,greeting
Kabul etmiyorum 🙂 !!,rejection
Uyuyamıyorum,anxiety
Görüşmek üzere.  🙂,farewell
Stres seviyesi tavan yaptı 🙏,stress
Hoşçakalın!,farewell
Yalnızlık zor geliyor 🙂,loneliness
"Hey, sizi görmek ne güzel.",greeting
Hedefime ulaşacağım 🙏 .,motivation
Pes etmeyeceğim sevgili dostum,motivation
Hiç kimsem yok gibi geliyor.,loneliness
Sağ ol 🙏,gratitude
Nasılsınız! ...,greeting
"Hayır, teşekkürler lütfen",rejection
Selam! Nasılsınız?,greeting
İyi ki varsın 🙂,gratitude
Sinirlerim laçka!!,stress
"Hayır, teşekkürler...",rejection
Olmaz,rejection
Günaydın dostum!,greeting
Kusura bakma ama hayır lütfen,rejection
Yarın görüşürüz! .,farewell
Güle güle.,farewell
Görüşmek üzere!,farewell
Hedefime ulaşacağım,motivation
Bu tempo beni öldürüyor!! !,stress
Keşke bir arkadaşım olsaydı!,loneliness
Hiç kimsem yok gibi geliyor sevgili dostum,loneliness
Sesimi duyan yok :)  sevgili dostum,loneliness
Kalbim hızlı çarpıyor  :),anxiety
Pes etmeyeceğim :),motivation
Kalbim hızlı çarpıyor 🙂,anxiety
Derin nefes almaya çalışıyorum :) ...,stress
Kendimi yalnız hissediyorum,loneliness
Çok teşekkür ederim 🙏  🙏,gratitude
Yarın görüşürüz sevgili dostum.,farewell
İçim daralıyor :),anxiety
Bunu yapamam :),rejection
Ne olacağını bilmiyorum.,anxiety
İyi akşamlar dostum!,greeting
Keşke bir arkadaşım olsaydı!!,loneliness
Kalabalıkta bile yapayalnızım... ...,loneliness
"Elveda, bay bay.",farewell
İstemiyorum sevgili dostum,rejection
Her geçen gün daha iyiyim 🙂,motivation
Minnettarım.,gratitude
Teşekkür ederim sevgili dostum,gratitude
İçimde büyük bir boşluk var,loneliness
Kendine iyi bak! Sağlıcakla kal.,farewell
"Hayır, teşekkürler lütfen .",rejection
İçimde büyük bir boşluk var :),loneliness
Merhaba nasılsın 🙂,greeting
"Hayır, teşekkürler!",rejection
Her geçen gün daha iyiyim  🙂,motivation
Kendimi güçlü hissediyorum  lütfen,motivation
Minnettarım!  lütfen,gratitude
Görüşmek üzere 🖐️,farewell
Yalnızlık zor geliyor,loneliness
Kimse beni anlamıyor lütfen,loneliness
Stres seviyesi tavan yaptı!!,stress
Şu an için mümkün değil.  sevgili dostum,rejection
Çok teşekkür ederim 🙂  🙂,gratitude
Elveda 🖐️  🙏,farewell
Desteğin için teşekkürler!! ...,gratitude
Kaygılıyım!!,anxiety
Kafam çok dolu! .,stress
Sesimi duyan yok 🙏,loneliness
Yalnızlık içimi kemiriyor!! .,loneliness
Yarın görüşürüz 🖐️,farewell
Hoşça kal 🖐️ !!,farewell
Minnettarım... .,gratitude
Ne olacağını bilmiyorum!,anxiety
Çok gerginim  :),stress
Şu an için mümkün değil lütfen,rejection
Bu iyiliğini unutmayacağım :),gratitude
Reddetmek zorundayım 🙂  🙏,rejection
Kimse beni anlamıyor lütfen ...,loneliness
Derin nefes almaya çalışıyorum.,stress
Stres seviyesi tavan yaptı,stress
Bunu yapamam 🙏,rejection
Zamanla yarışıyorum 🙂  🙂,stress
İçim daralıyor.,anxiety
Kalbim hızlı çarpıyor!,anxiety
Hedefime ulaşacağım...  :),motivation
Hoşça kal. Görüşürüz.,farewell
Gerçekten çok naziksin 🙂,gratitude
Kimse beni anlamıyor 🙂  sevgili dostum,loneliness
Reddetmek zorundayım sevgili dostum,rejection
Kafam çok dolu :),stress
İçim daralıyor lütfen,anxiety
İstemiyorum!,rejection
Zamanla yarışıyorum...  🙂,stress
Sürekli felaket senaryoları düşünüyorum!,anxiety
Teşekkür ederim!!  sevgili dostum,gratitude
Sürekli felaket senaryoları düşünüyorum...,anxiety
Hey!,greeting
Kalabalıkta bile yapayalnızım 🙏,loneliness
Hiç kimsem yok gibi geliyor...  lütfen,loneliness
Yılmadan devam ediyorum :),motivation
Kafam karışık ve tedirgin 🙂,anxiety
Kendime güveniyorum sevgili dostum,motivation
Bugün başlamak için güzel bir gün.,motivation
İyi geceler! Sağlıcakla kal.,farewell
Üzerimde büyük bir baskı var...,stress
Kendimi yalnız hissediyorum!,loneliness
Pes etmeyeceğim 🙂,motivation
"Tekrar görüşmek dileğiyle, kendine çok iyi bak.",farewell
Selam efendim! .,greeting
Kendimi güçlü hissediyorum!!,motivation
Güle güle sevgili dostum.  :),farewell
Kendimi yalnız hissediyorum :),loneliness
Sağ ol.  lütfen,gratitude
Gerçekten çok naziksin!! !,gratitude
Sürekli felaket senaryoları düşünüyorum... ...,anxiety
İçim daralıyor!!,anxiety
Günaydın! Nasılsınız?  🙂,greeting
Kötü bir şey olacak diye hissediyorum lütfen,anxiety
Merhaba dostum. Keyifler nasıl?,greeting
Bugün başlamak için güzel bir gün!!,motivation
Sadece biri beni dinlese yeter...,loneliness
Çok teşekkür ederim lütfen  sevgili dostum,gratitude
Selamlar sevgili dostum!,greeting
Yarın görüşürüz! Sağlıcakla kal.  lütfen,farewell
Yarın görüşürüz! Sağlıcakla kal.,farewell
Kalabalıkta bile yapayalnızım...,loneliness
Olmaz lütfen,rejection
Yılmadan devam ediyorum...,motivation
Bunu yapamam!! !!,rejection
Hoşça kal! Sağlıcakla kal.,farewell
"Güle güle, kendine çok iyi bak.",farewell
Bu tempo beni öldürüyor.,stress
Minnettarım!!,gratitude
Üzerimde büyük bir baskı var 🙏 ...,stress
Kimse beni anlamıyor!,loneliness
Kaygılıyım :),anxiety
Nasılsınız. Keyifler nasıl?,greeting
Bu iyiliğini unutmayacağım... .,gratitude
Her şey üstüme üstüme geliyor 🙂,stress
Güle güle.  🙏,farewell
Selam!,greeting
Elveda!,farewell
İçim daralıyor 🙂 !!,anxiety
"Hoş geldiniz, nasılsın?",greeting
Her şey üstüme üstüme geliyor...,stress
Yılmadan devam ediyorum 🙏,motivation
Bugün harika hissediyorum... !,motivation
"Hoş geldiniz, sizi görmek ne güzel.",greeting
Hoşça kal!  :),farewell
"Kendine iyi bak, bay bay.",farewell
İçim daralıyor. !,anxiety
Kalabalıkta bile yapayalnızım 🙂,loneliness
Kaygılıyım 🙂,anxiety
Şu an için mümkün değil!!,rejection
Merhaba!,greeting
Yardımın için minnettarım...,gratitude
Elveda sevgili dostum.,farewell
Bugün başlamak için güzel bir gün!,motivation
Tekrar görüşmek dileğiyle. Görüşürüz. !!,farewell
Kendine iyi bak sevgili dostum.  lütfen,farewell
Sağ ol!,gratitude
Yılmadan devam ediyorum!,motivation
Şu an için mümkün değil :),rejection
Kaygılıyım!,anxiety
İyi ki varsın!,gratitude
Hiç kimsem yok gibi geliyor!! ...,loneliness
Pes etmeyeceğim!  :),motivation
Yardımın için minnettarım!,gratitude
Hiç kimsem yok gibi geliyor,loneliness
Maalesef uygun değil...,rejection
Tekrar görüşmek dileğiyle!,farewell
Her geçen gün daha iyiyim lütfen,motivation
Yardımın için minnettarım!  lütfen,gratitude
Kendime güveniyorum :) .,motivation
Hoşça kal 🖐️,farewell
Kaygılıyım ...,anxiety
Pes etmeyeceğim!!,motivation
Kötü bir şey olacak diye hissediyorum :)  :),anxiety
İyi geceler sevgili dostum. !,farewell
Derin nefes almaya çalışıyorum  lütfen,stress
Olmaz lütfen  :),rejection
Bu bana göre değil lütfen,rejection
Sürekli felaket senaryoları düşünüyorum 🙏,anxiety
İçimde büyük bir boşluk var.  🙂,loneliness
Bugün harika hissediyorum!!  lütfen,motivation
Kötü bir şey olacak diye hissediyorum...  🙏,anxiety
Reddetmek zorundayım lütfen  lütfen,rejection
Zamanla yarışıyorum. .,stress
Kafam karışık ve tedirgin sevgili dostum,anxiety
Kusura bakma ama hayır!!  :),rejection
Çok teşekkür ederim,gratitude
Desteğin için teşekkürler...  :),gratitude
Gerçekten çok naziksin lütfen .,gratitude
Yalnızlık içimi kemiriyor.,loneliness
Sesimi duyan yok. !,loneliness
Kötü bir şey olacak diye hissediyorum. .,anxiety
Zamanla yarışıyorum  sevgili dostum,stress
İyi geceler. Görüşürüz.,farewell
Huzursuzum!! ...,anxiety
İyi ki varsın :),gratitude
Hedefime ulaşacağım lütfen  🙂,motivation
Minnettarım!!  🙏,gratitude
Uyuyamıyorum.,anxiety
Allah razı olsun... !,gratitude
Hoşçakalın sevgili dostum. ...,farewell
Kendimi yalnız hissediyorum 🙂,loneliness
Teşekkür ederim...,gratitude
Sesimi duyan yok!!  🙂,loneliness
Teşekkür ederim :)  sevgili dostum,gratitude
Desteğin için teşekkürler,gratitude
Merhaba! Umarım iyisiniz.,greeting
Kendimi yalnız hissediyorum 🙏,loneliness
Her geçen gün daha iyiyim! !!,motivation
"Hayır, teşekkürler 🙏",rejection
"Hayır, teşekkürler 🙂",rejection
Kendimi yalnız hissediyorum!! !!,loneliness
Reddetmek zorundayım lütfen,rejection
Kafam çok dolu!!,stress
"Yarın görüşürüz, kendine çok iyi bak.",farewell
"Görüşmek üzere, kendine çok iyi bak.",farewell
Hey dostum!,greeting
Bu tempo beni öldürüyor sevgili dostum  sevgili dostum,stress
"Nasılsınız, nasılsın?",greeting
Yalnızlık içimi kemiriyor... !!,loneliness
"Şimdilik hoşça kal, bay bay.",farewell
Gerçekten çok naziksin :) !!,gratitude
Sinirlerim laçka :),stress
Teşekkür ederim!!,gratitude
Minnettarım...,gratitude
Her şey üstüme üstüme geliyor sevgili dostum  lütfen,stress
Maalesef uygun değil sevgili dostum  lütfen,rejection
Görüşmek üzere. Allah'a emanet.,farewell
İçimde büyük bir boşluk var 🙏,loneliness
Olmaz 🙂  🙏,rejection
İyi ki varsın :)  🙏,gratitude
Kendime güveniyorum 🙂,motivation
Kafam karışık ve tedirgin lütfen,anxiety
Hoş geldiniz dostum!,greeting
Hey. Keyifler nasıl?,greeting
Günaydın efendim!,greeting
Keşke bir arkadaşım olsaydı 🙂,loneliness
Günaydın 🙂,greeting
Günaydın sevgili dostum!,greeting
Çok gerginim sevgili dostum,stress
Elveda! Sağlıcakla kal.,farewell
Hiç kimsem yok gibi geliyor sevgili dostum  🙏,loneliness
İstemiyorum  :),rejection
İyi akşamlar! Umarım iyisiniz.,greeting
Bunu yapamam 🙂,rejection
Şu an için mümkün değil.,rejection
Çok teşekkür ederim...,gratitude
Bu tempo beni öldürüyor 🙏  lütfen,stress
Zamanla yarışıyorum.,stress
Kabul etmiyorum :)  sevgili dostum,rejection
Kafam çok dolu 🙂,stress
Bunu yapamam .,rejection
Başarabilirim .,motivation
Bu tempo beni öldürüyor!  :),stress
Zamanla yarışıyorum :)  🙏,stress
Olmaz  lütfen,rejection
Huzursuzum!  sevgili dostum,anxiety
"Merhaba nasılsın, sizi görmek ne güzel.",greeting
Yalnızlık içimi kemiriyor 🙂 .,loneliness
Kaygılıyım!!  sevgili dostum,anxiety
İstemiyorum,rejection
Günaydın! Umarım iyisiniz.  🙏,greeting
Olmaz 🙂,rejection
İçim daralıyor 🙂,anxiety
İyi ki varsın sevgili dostum ...,gratitude
Pes etmeyeceğim!,motivation
Sağ ol...,gratitude
Bu iyiliğini unutmayacağım!!,gratitude
Bu tempo beni öldürüyor :)  lütfen,stress
Başarabilirim,motivation
Günaydın! Nasılsınız?,greeting
"Hayır, teşekkürler :)",rejection
Yalnızlık zor geliyor .,loneliness
İstemiyorum.  🙂,rejection
Hey! Umarım iyisiniz.,greeting
Huzursuzum!,anxiety
Bugün başlamak için güzel bir gün,motivation
Uyuyamıyorum sevgili dostum  lütfen,anxiety
Endişe içindeyim!,anxiety
Hedefime ulaşacağım 🙂  :),motivation
Hoş geldiniz!,greeting
Selamlar! Nasılsınız?,greeting
Hoşça kal!,farewell
Pes etmeyeceğim.  🙏,motivation
Günaydın! Umarım iyisiniz.,greeting
Kabul etmiyorum 🙏  lütfen,rejection
Gerçekten çok naziksin...  sevgili dostum,gratitude
Bu bana göre değil sevgili dostum,rejection
Olmaz...  🙏,rejection
Şu an için mümkün değil 🙂  🙂,rejection
Yalnızlık zor geliyor 🙏,loneliness
Sürekli felaket senaryoları düşünüyorum :)  :),anxiety
Allah razı olsun 🙂,gratitude
Derin nefes almaya çalışıyorum!  sevgili dostum,stress
Kalbim hızlı çarpıyor lütfen  sevgili dostum,anxiety
Üzerimde büyük bir baskı var...  🙂,stress
Uyuyamıyorum lütfen,anxiety
Görüşmek üzere 🖐️  🙂,farewell
İyi akşamlar efendim!  :),greeting
Tekrar görüşmek dileğiyle. Allah'a emanet.,farewell
Bu bana göre değil,rejection
Selamlar efendim!,greeting
İnanıyorum!!,motivation
Sinirlerim laçka lütfen,stress
Uyuyamıyorum.  sevgili dostum,anxiety
Teşekkür ederim !,gratitude
Keşke bir arkadaşım olsaydı lütfen  🙏,loneliness
Ne olacağını bilmiyorum...  🙂,anxiety
Bu bana göre değil!,rejection
Her geçen gün daha iyiyim 🙂 !!,motivation
Bunu yapamam 🙏  lütfen,rejection
Kabul etmiyorum.,rejection
Reddetmek zorundayım.  🙏,rejection
Endişe içindeyim.,anxiety
Kafam çok dolu...,stress
Üzerimde büyük bir baskı var.,stress
İstemiyorum :)  :),rejection
Her şey üstüme üstüme geliyor...  lütfen,stress
"Hoşçakalın, bay bay. !",farewell
Kafam karışık ve tedirgin,anxiety
Kabul etmiyorum. !,rejection
Minnettarım :),gratitude
İnanıyorum,motivation
Gerçekten çok naziksin sevgili dostum .,gratitude
Selam! Nasılsınız?  🙏,greeting
Kabul etmiyorum lütfen,rejection
Hoşçakalın! !!,farewell
Selamlar. Keyifler nasıl? !,greeting
Sağ ol 🙏 !,gratitude
Kabul etmiyorum!! .,rejection
Çok gerginim 🙏,stress
Merhaba nasılsın efendim!,greeting
Kendine iyi bak! Sağlıcakla kal. .,farewell
Sadece biri beni dinlese yeter,loneliness
Nasılsınız! Umarım iyisiniz.,greeting
Bu tempo beni öldürüyor!!,stress
Kaygılıyım lütfen,anxiety
Merhaba sevgili dostum! .,greeting
Bu tempo beni öldürüyor!,stress
Bugün başlamak için güzel bir gün 🙏,motivation
Yalnızlık içimi kemiriyor sevgili dostum,loneliness
Üzerimde büyük bir baskı var,stress
Teşekkür ederim 🙂 !!,gratitude
Şimdilik hoşça kal 🖐️,farewell
Reddetmek zorundayım...,rejection
Desteğin için teşekkürler lütfen,gratitude
Çok gerginim,stress
Kendimi güçlü hissediyorum lütfen .,motivation
Bugün başlamak için güzel bir gün :),motivation
Zamanla yarışıyorum,stress
Kabul etmiyorum!!,rejection
"Görüşmek üzere, bay bay.",farewell
Günaydın!,greeting
Allah razı olsun...,gratitude
Şu an için mümkün değil 🙂,rejection
Allah razı olsun!,gratitude
Bugün harika hissediyorum sevgili dostum,motivation
Derin nefes almaya çalışıyorum!,stress
Sesimi duyan yok!!,loneliness
"Hoşçakalın, bay bay.",farewell
Huzursuzum 🙏,anxiety
Kendime güveniyorum.,motivation
Reddetmek zorundayım :) !!,rejection
Sadece biri beni dinlese yeter.  lütfen,loneliness
Minnettarım lütfen  :),gratitude
"Güle güle, bay bay.",farewell
"Hoşçakalın, kendine çok iyi bak.",farewell
Kalbim hızlı çarpıyor sevgili dostum,anxiety
Kafam karışık ve tedirgin 🙏 .,anxiety
İçimde büyük bir boşluk var sevgili dostum  🙏,loneliness
Bugün başlamak için güzel bir gün lütfen,motivation
Ne olacağını bilmiyorum 🙂,anxiety
Allah razı olsun 🙂 ...,gratitude
Hiç kimsem yok gibi geliyor 🙂,loneliness
Nasılsınız! Nasılsınız?,greeting
"Hayır, teşekkürler!  sevgili dostum",rejection
Yalnızlık zor geliyor...,loneliness
Teşekkür ederim :),gratitude
"Selam, sizi görmek ne güzel.",greeting
İyi geceler sevgili dostum.,farewell
Ne olacağını bilmiyorum...,anxiety
"Tekrar görüşmek dileğiyle, bay bay.",farewell
"Şimdilik hoşça kal, kendine çok iyi bak.",farewell
Yalnızlık zor geliyor.,loneliness
"Hoşça kal, kendine çok iyi bak.",farewell
Keşke bir arkadaşım olsaydı :)  🙂,loneliness
Her geçen gün daha iyiyim sevgili dostum,motivation
İyi akşamlar 🙂,greeting
Kötü bir şey olacak diye hissediyorum...,anxiety
Nasılsınız!,greeting
İçimde büyük bir boşluk var :) !,loneliness
Sinirlerim laçka 🙂 !,stress
"Merhaba dostum, nasılsın?",greeting
Hedefime ulaşacağım.  :),motivation
Sadece biri beni dinlese yeter :),loneliness
Yılmadan devam ediyorum!! !,motivation
Kalbim hızlı çarpıyor lütfen,anxiety
Endişe içindeyim. ...,anxiety
Kaygılıyım,anxiety
Elveda! Sağlıcakla kal. !,farewell
Hoş geldiniz! Nasılsınız?,greeting
Kötü bir şey olacak diye hissediyorum sevgili dostum,anxiety
Bu tempo beni öldürüyor.  🙂,stress
Şimdilik hoşça kal 🖐️ .,farewell
Olmaz sevgili dostum  lütfen,rejection
Kalbim hızlı çarpıyor 🙏  lütfen,anxiety
Sağ ol :),gratitude
Stres seviyesi tavan yaptı :),stress
Maalesef uygun değil 🙂  sevgili dostum,rejection
Kötü bir şey olacak diye hissediyorum 🙏,anxiety
İyi ki varsın 🙏,gratitude
Sağ ol!!,gratitude
Şu an için mümkün değil... ...,rejection
İyi geceler!,farewell
Bugün başlamak için güzel bir gün...  sevgili dostum,motivation
Olmaz sevgili dostum,rejection
Çok gerginim.,stress
İyi akşamlar. Keyifler nasıl?,greeting
Yalnızlık içimi kemiriyor lütfen,loneliness
Zamanla yarışıyorum sevgili dostum  🙏,stress
Hiç kimsem yok gibi geliyor!!,loneliness
Endişe içindeyim lütfen,anxiety
Kabul etmiyorum 🙏,rejection
Şimdilik hoşça kal!  sevgili dostum,farewell
Hedefime ulaşacağım.,motivation
Kendime güveniyorum. .,motivation
"Yarın görüşürüz, bay bay.  🙏",farewell
Çok gerginim lütfen,stress
Kusura bakma ama hayır 🙏,rejection
İyi akşamlar!,greeting
Minnettarım 🙂,gratitude
Kendine iyi bak!,farewell
Hoşçakalın.,farewell
Hedefime ulaşacağım 🙂,motivation
Sağ ol :) !!,gratitude
Kendime güveniyorum 🙂 ...,motivation
Kalabalıkta bile yapayalnızım !,loneliness
"İyi geceler, kendine çok iyi bak.",farewell
Birazdan patlayacağım lütfen ...,stress
Zamanla yarışıyorum!!,stress
Yalnızlık içimi kemiriyor sevgili dostum !,loneliness
Sadece biri beni dinlese yeter sevgili dostum,loneliness
Selam dostum!,greeting
Kendimi yalnız hissediyorum sevgili dostum,loneliness
Selamlar! Umarım iyisiniz.,greeting
Allah razı olsun.,gratitude
Sadece biri beni dinlese yeter!!,loneliness
Tekrar görüşmek dileğiyle sevgili dostum.  sevgili dostum,farewell
Bu tempo beni öldürüyor sevgili dostum,stress
Sürekli felaket senaryoları düşünüyorum 🙂,anxiety
Uyuyamıyorum sevgili dostum,anxiety
Merhaba dostum efendim!,greeting
Derin nefes almaya çalışıyorum. .,stress
"Merhaba, nasılsın?",greeting
Olmaz!,rejection
Yardımın için minnettarım 🙏  🙂,gratitude
Huzursuzum lütfen,anxiety
Yarın görüşürüz.,farewell
İyi akşamlar! Nasılsınız?,greeting
Kalbim hızlı çarpıyor 🙏,anxiety
"Merhaba dostum, sizi görmek ne güzel.",greeting
Hedefime ulaşacağım...,motivation
Zamanla yarışıyorum lütfen  :),stress
Sürekli felaket senaryoları düşünüyorum.,anxiety
İçimde büyük bir boşluk var.,loneliness
Maalesef uygun değil,rejection
Kabul etmiyorum lütfen !!,rejection
Sadece biri beni dinlese yeter!  🙂,loneliness
Sağ ol!!  lütfen,gratitude
